DATAFLOW,LAST UPDATE,freq,unit,sex,age,icd10,resid,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE65,F01_F03,TOT_IN,CH,2018,3380,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE65,F01_F03,TOT_IN,CH,2019,3474,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE65,F01_F03,TOT_IN,CH,2020,3418,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE65,F01_F03,TOT_IN,CY,2011,42,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE65,F01_F03,TOT_IN,CY,2012,49,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE65,F01_F03,TOT_IN,CY,2013,43,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE65,F01_F03,TOT_IN,CY,2014,69,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE65,F01_F03,TOT_IN,CY,2015,96,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE65,F01_F03,TOT_IN,CY,2016,104,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE65,F01_F03,TOT_IN,CY,2017,115,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE65,F01_F03,TOT_IN,CY,2018,155,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE65,F01_F03,TOT_IN,CY,2019,171,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE65,F01_F03,TOT_IN,CY,2020,143,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE65,F01_F03,TOT_IN,CZ,2011,457,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE65,F01_F03,TOT_IN,CZ,2012,492,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE65,F01_F03,TOT_IN,CZ,2013,661,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE65,F01_F03,TOT_IN,CZ,2014,647,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE65,F01_F03,TOT_IN,CZ,2015,822,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE65,F01_F03,TOT_IN,CZ,2016,768,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE65,F01_F03,TOT_IN,CZ,2017,983,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE65,F01_F03,TOT_IN,CZ,2018,938,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE65,F01_F03,TOT_IN,CZ,2019,1017,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE65,F01_F03,TOT_IN,CZ,2020,1121,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE65,F01_F03,TOT_IN,CZ,2021,1128,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE65,F01_F03,TOT_IN,DE,2011,14236,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE65,F01_F03,TOT_IN,DE,2012,16760,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE65,F01_F03,TOT_IN,DE,2013,19702,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE65,F01_F03,TOT_IN,DE,2014,19925,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE65,F01_F03,TOT_IN,DE,2015,25010,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE65,F01_F03,TOT_IN,DE,2016,25844,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE65,F01_F03,TOT_IN,DE,2017,30028,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE65,F01_F03,TOT_IN,DE,2018,33756,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE65,F01_F03,TOT_IN,DE,2019,33587,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE65,F01_F03,TOT_IN,DE,2020,34070,
