DATAFLOW,LAST UPDATE,freq,unit,sex,age,icd10,resid,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y75-79,F01_F03,TOT_IN,AT,2011,12,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y75-79,F01_F03,TOT_IN,AT,2012,15,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y75-79,F01_F03,TOT_IN,AT,2013,33,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y75-79,F01_F03,TOT_IN,AT,2014,35,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y75-79,F01_F03,TOT_IN,AT,2015,55,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y75-79,F01_F03,TOT_IN,AT,2016,67,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y75-79,F01_F03,TOT_IN,AT,2017,112,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y75-79,F01_F03,TOT_IN,AT,2018,110,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y75-79,F01_F03,TOT_IN,AT,2019,108,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y75-79,F01_F03,TOT_IN,AT,2020,115,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y75-79,F01_F03,TOT_IN,AT,2021,114,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y75-79,F01_F03,TOT_IN,BE,2011,173,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y75-79,F01_F03,TOT_IN,BE,2012,197,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y75-79,F01_F03,TOT_IN,BE,2013,204,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y75-79,F01_F03,TOT_IN,BE,2014,199,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y75-79,F01_F03,TOT_IN,BE,2015,193,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y75-79,F01_F03,TOT_IN,BE,2016,186,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y75-79,F01_F03,TOT_IN,BE,2017,221,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y75-79,F01_F03,TOT_IN,BE,2018,199,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y75-79,F01_F03,TOT_IN,BE,2019,197,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y75-79,F01_F03,TOT_IN,BE,2020,169,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y75-79,F01_F03,TOT_IN,BG,2011,0,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y75-79,F01_F03,TOT_IN,BG,2012,2,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y75-79,F01_F03,TOT_IN,BG,2013,3,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y75-79,F01_F03,TOT_IN,BG,2014,2,
